,Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
3315,Land Cruiser,Dammam,Toyota,Automatic,Gulf Arabic,Full,2019,4.6,6000,267000
3317,Cadenza,Riyadh,Kia,Automatic,Saudi,Semi Full,2021,3.5,32031,111500
3318,Echo Sport,Riyadh,Ford,Automatic,Saudi,Standard,2016,1.5,217000,25000
3319,LX,Taef,Lexus,Automatic,Saudi,Full,2014,5.0,100000,320000
3320,Datsun,Makkah,Nissan,Manual,Saudi,Standard,2015,1.9,142000,39000
3321,Elantra,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2016,2.0,280,33000
3322,Mustang,Dammam,Ford,Automatic,Other,Full,2016,2.3,84000,97000
3323,Azera,Riyadh,Hyundai,Automatic,Saudi,Full,2018,3.5,50000,85000
3326,Impala,Riyadh,Chevrolet,Automatic,Saudi,Standard,2018,3.6,110519,58500
3327,S,Dammam,Mercedes,Automatic,Saudi,Semi Full,2018,3.0,590,390000
3328,Land Cruiser 70,Aseer,Toyota,Manual,Saudi,Full,2019,4.0,26000,130000
3329,3,Riyadh,MG,Manual,Saudi,Standard,2013,1.3,41000,15000
3330,Grand Cherokee,Jubail,Jeep,Automatic,Saudi,Semi Full,2014,5.7,175000,70000
